종목코드,종목명,시장구분,업종명,종가,대비,등락률,시가총액
"000230","일동홀딩스","KOSPI","제약","9230","490","5.61","106517892000"
"013360","일성건설","KOSPI","건설","1758","-22","-1.24","94975739040"
"003120","일성아이에스","KOSPI","제약","28450","3350","13.35","378385000000"
"003200","일신방직","KOSPI","섬유·의류","11350","90","0.80","260596000000"
"007110","일신석재","KOSPI","유통","2405","-5","-0.21","186283147050"
"007570","일양약품","KOSPI","제약","13740","170","1.25","262237023360"
"007575","일양약품우","KOSPI","제약","14300","80","0.56","6364644000"
"008500","일정실업","KOSPI","섬유·의류","12660","310","2.51","15192000000"
"081000","일진다이아","KOSPI","화학","13110","-180","-1.35","186201002250"
"020760","일진디스플","KOSPI","전기·전자","1044","-2","-0.19","53780345604"
"103590","일진전기","KOSPI","전기·전자","38700","800","2.11","1845424593000"
"271940","일진하이솔루스","KOSPI","운송장비·부품","15980","-40","-0.25","580284776200"
"015860","일진홀딩스","KOSPI","기타금융","6180","10","0.16","304967444940"
"226320","잇츠한불","KOSPI","화학","14300","560","4.08","313589204500"
"317400","자이에스앤디","KOSPI","부동산","3700","75","2.07","143495324000"
"033240","자화전자","KOSPI","전기·전자","16410","-620","-3.64","357026396760"
